Contract,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,PaymentMethod,PaperlessBilling,Churn
Month-to-month,47,Fiber optic,No,No,99.35,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,30.2,Electronic check,No,Yes
Two year,72,DSL,Yes,Yes,90.25,Credit card (automatic),Yes,No
Month-to-month,17,DSL,No,No,64.7,Mailed check,Yes,Yes
Two year,71,Fiber optic,Yes,Yes,96.35,Credit card (automatic),Yes,No
Month-to-month,2,Fiber optic,No,No,95.5,Credit card (automatic),Yes,No
One year,27,DSL,Yes,Yes,66.15,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,20.2,Bank transfer (automatic),No,No
Month-to-month,1,DSL,No,No,45.25,Bank transfer (automatic),No,No
Two year,72,Fiber optic,Yes,Yes,99.9,Bank transfer (automatic),No,No
Month-to-month,5,Fiber optic,No,No,69.7,Electronic check,Yes,Yes
Month-to-month,46,Fiber optic,No,No,74.8,Credit card (automatic),Yes,No
Month-to-month,34,Fiber optic,No,No,106.35,Electronic check,Yes,Yes
Month-to-month,11,Fiber optic,No,No,97.85,Bank transfer (automatic),Yes,Yes
One year,10,DSL,No,No,49.55,Mailed check,No,No
Two year,70,DSL,Yes,No,69.2,Credit card (automatic),Yes,No
One year,17,No,No internet service,No internet service,20.75,Mailed check,No,No
Two year,63,DSL,Yes,Yes,79.85,Credit card (automatic),Yes,No
Month-to-month,13,DSL,Yes,Yes,76.2,Electronic check,Yes,No
Month-to-month,49,Fiber optic,No,No,84.5,Electronic check,Yes,No
Month-to-month,2,DSL,No,No,49.25,Mailed check,No,No
Month-to-month,2,Fiber optic,No,No,80.65,Electronic check,Yes,Yes
Two year,52,DSL,Yes,Yes,79.75,Credit card (automatic),Yes,No
Two year,69,DSL,Yes,Yes,64.15,Credit card (automatic),Yes,No
Month-to-month,43,Fiber optic,No,No,90.25,Electronic check,Yes,No
Month-to-month,15,Fiber optic,Yes,No,99.1,Credit card (automatic),Yes,Yes
Month-to-month,25,DSL,Yes,Yes,69.5,Credit card (automatic),Yes,No
Month-to-month,8,Fiber optic,No,No,80.65,Credit card (automatic),Yes,Yes
One year,60,DSL,Yes,Yes,74.85,Credit card (automatic),Yes,No
Month-to-month,18,Fiber optic,No,No,95.45,Electronic check,Yes,Yes
One year,63,Fiber optic,Yes,No,99.65,Credit card (automatic),Yes,No
One year,66,Fiber optic,No,Yes,108.45,Electronic check,Yes,No
Two year,34,No,No internet service,No internet service,24.95,Credit card (automatic),No,No
Two year,72,Fiber optic,No,Yes,107.5,Credit card (automatic),Yes,No
Month-to-month,47,Fiber optic,No,No,100.5,Electronic check,Yes,No
Month-to-month,60,Fiber optic,No,No,89.9,Bank transfer (automatic),Yes,No
Two year,72,DSL,Yes,No,42.1,Bank transfer (automatic),No,No
One year,18,DSL,No,Yes,54.4,Credit card (automatic),Yes,No
Month-to-month,9,Fiber optic,No,No,94.4,Electronic check,No,Yes
Month-to-month,3,DSL,No,Yes,75.3,Electronic check,Yes,No
One year,47,Fiber optic,No,No,78.9,Electronic check,Yes,No
Two year,31,DSL,No,Yes,79.2,Mailed check,No,No
Two year,50,No,No internet service,No internet service,20.15,Bank transfer (automatic),No,No
Month-to-month,10,Fiber optic,Yes,No,79.85,Mailed check,Yes,No
Month-to-month,1,DSL,No,Yes,49.05,Mailed check,No,No
One year,52,No,No internet service,No internet service,20.4,Electronic check,Yes,No
Two year,64,Fiber optic,Yes,Yes,111.6,Bank transfer (automatic),Yes,No
Two year,62,No,No internet service,No internet service,24.25,Bank transfer (automatic),Yes,No
Month-to-month,3,DSL,Yes,Yes,64.5,Bank transfer (automatic),Yes,No
One year,56,Fiber optic,Yes,No,110.5,Electronic check,No,No
One year,46,DSL,No,No,55.65,Credit card (automatic),No,No
Month-to-month,8,DSL,Yes,No,54.65,Mailed check,No,No
Month-to-month,30,DSL,Yes,No,74.75,Electronic check,Yes,No
One year,45,No,No internet service,No internet service,25.9,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,79.35,Electronic check,Yes,Yes
Month-to-month,11,DSL,Yes,No,50.55,Electronic check,No,No
Month-to-month,7,Fiber optic,No,No,75.15,Bank transfer (automatic),Yes,Yes
Month-to-month,42,Fiber optic,No,Yes,103.8,Bank transfer (automatic),Yes,No
Two year,49,No,No internet service,No internet service,20.15,Bank transfer (automatic),Yes,No
Month-to-month,9,Fiber optic,No,No,99.3,Credit card (automatic),Yes,No
One year,35,DSL,Yes,No,62.15,Bank transfer (automatic),Yes,No
Two year,48,No,No internet service,No internet service,20.65,Bank transfer (automatic),No,No
Two year,46,No,No internet service,No internet service,19.95,Mailed check,Yes,No
Month-to-month,29,DSL,No,No,33.75,Mailed check,No,No
Month-to-month,30,Fiber optic,No,No,82.05,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,Yes,74.7,Electronic check,No,No
Two year,66,DSL,Yes,Yes,84.0,Mailed check,Yes,No
Month-to-month,65,Fiber optic,Yes,No,111.05,Credit card (automatic),Yes,No
Two year,72,Fiber optic,No,No,100.9,Bank transfer (automatic),Yes,No
Month-to-month,12,Fiber optic,Yes,No,78.95,Electronic check,Yes,Yes
One year,71,DSL,Yes,Yes,66.85,Credit card (automatic),Yes,No
Month-to-month,5,No,No internet service,No internet service,21.05,Mailed check,No,Yes
Two year,52,No,No internet service,No internet service,21.0,Bank transfer (automatic),No,No
Month-to-month,25,Fiber optic,No,No,98.5,Electronic check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,20.2,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,19.45,Electronic check,No,No
One year,38,Fiber optic,No,Yes,95.0,Bank transfer (automatic),No,No
One year,66,DSL,No,No,45.55,Bank transfer (automatic),No,No
Two year,68,Fiber optic,No,Yes,110.0,Bank transfer (automatic),Yes,Yes
Month-to-month,5,DSL,No,No,24.3,Mailed check,No,No
One year,72,Fiber optic,Yes,No,104.15,Electronic check,Yes,No
One year,32,DSL,Yes,No,30.15,Mailed check,No,No
One year,43,Fiber optic,No,No,94.35,Mailed check,No,No
Two year,72,No,No internet service,No internet service,19.4,Credit card (automatic),No,No
Month-to-month,55,Fiber optic,Yes,No,96.75,Electronic check,Yes,Yes
One year,52,DSL,Yes,Yes,57.95,Credit card (automatic),No,No
Month-to-month,43,Fiber optic,No,No,91.65,Electronic check,Yes,No
Month-to-month,37,Fiber optic,No,No,76.5,Electronic check,Yes,Yes
Two year,64,DSL,No,Yes,54.6,Electronic check,Yes,No
Month-to-month,3,Fiber optic,Yes,No,89.85,Electronic check,No,No
Two year,36,DSL,Yes,No,31.05,Bank transfer (automatic),No,No
Month-to-month,10,Fiber optic,Yes,No,100.25,Electronic check,Yes,Yes
Two year,41,No,No internet service,No internet service,20.65,Mailed check,No,No
Month-to-month,27,Fiber optic,No,Yes,85.2,Credit card (automatic),Yes,No
One year,56,Fiber optic,No,No,99.8,Credit card (automatic),Yes,No
Month-to-month,6,No,No internet service,No internet service,20.7,Mailed check,No,No
Month-to-month,3,Fiber optic,No,No,74.4,Electronic check,Yes,Yes
Month-to-month,7,DSL,Yes,No,50.7,Mailed check,No,No
Month-to-month,4,No,No internet service,No internet service,20.85,Mailed check,No,No
Two year,33,Fiber optic,Yes,Yes,88.95,Electronic check,Yes,No
Month-to-month,27,Fiber optic,No,No,78.05,Electronic check,Yes,Yes
Two year,72,No,No internet service,No internet service,23.55,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,19.75,Mailed check,No,No
One year,71,DSL,Yes,No,56.45,Electronic check,Yes,No
Month-to-month,13,Fiber optic,No,No,85.95,Electronic check,Yes,No
Month-to-month,25,DSL,Yes,No,58.6,Credit card (automatic),Yes,Yes
Two year,67,DSL,No,Yes,50.55,Bank transfer (automatic),No,No
Month-to-month,1,DSL,No,No,35.45,Electronic check,Yes,Yes
Month-to-month,2,DSL,No,No,44.35,Electronic check,No,Yes
Two year,43,No,No internet service,No internet service,25.7,Credit card (automatic),Yes,No
Month-to-month,23,Fiber optic,Yes,No,75.0,Bank transfer (automatic),Yes,No
Two year,64,No,No internet service,No internet service,20.2,Mailed check,No,No
Two year,57,No,No internet service,No internet service,19.6,Mailed check,Yes,No
Month-to-month,1,Fiber optic,No,No,70.45,Mailed check,Yes,Yes
Two year,72,DSL,Yes,Yes,88.05,Credit card (automatic),Yes,No
Month-to-month,8,DSL,Yes,Yes,71.15,Electronic check,No,Yes
Two year,61,Fiber optic,No,No,101.05,Bank transfer (automatic),Yes,No
One year,64,Fiber optic,Yes,No,84.3,Credit card (automatic),Yes,No
Two year,71,No,No internet service,No internet service,23.95,Bank transfer (automatic),No,No
Two year,65,Fiber optic,Yes,Yes,99.05,Credit card (automatic),Yes,No
One year,3,No,No internet service,No internet service,19.6,Mailed check,No,No
Month-to-month,1,DSL,No,No,45.65,Electronic check,Yes,Yes
One year,30,DSL,No,No,64.5,Credit card (automatic),No,No
Month-to-month,15,DSL,No,Yes,69.5,Mailed check,Yes,No
Month-to-month,8,DSL,No,Yes,68.55,Electronic check,Yes,No
Month-to-month,7,Fiber optic,No,No,95.0,Mailed check,No,Yes
One year,70,Fiber optic,Yes,No,108.15,Credit card (automatic),Yes,No
Two year,62,DSL,Yes,Yes,86.1,Electronic check,No,No
Month-to-month,6,No,No internet service,No internet service,19.7,Mailed check,No,No
Month-to-month,14,Fiber optic,No,No,80.9,Bank transfer (automatic),Yes,No
Month-to-month,22,Fiber optic,No,No,84.15,Bank transfer (automatic),Yes,No
One year,22,No,No internet service,No internet service,20.15,Mailed check,No,No
Two year,16,DSL,Yes,No,64.25,Mailed check,No,No
Two year,10,No,No internet service,No internet service,25.7,Bank transfer (automatic),No,No
Month-to-month,13,DSL,Yes,No,56.0,Electronic check,Yes,No
Month-to-month,20,Fiber optic,Yes,No,82.4,Electronic check,No,Yes
Month-to-month,2,Fiber optic,No,No,69.7,Electronic check,Yes,No
Two year,53,DSL,No,Yes,73.9,Bank transfer (automatic),Yes,No
One year,11,No,No internet service,No internet service,20.6,Mailed check,No,No
Two year,69,No,No internet service,No internet service,19.9,Mailed check,No,No
Month-to-month,4,Fiber optic,No,No,70.9,Bank transfer (automatic),Yes,Yes
Two year,72,DSL,Yes,Yes,89.05,Bank transfer (automatic),Yes,No
Month-to-month,58,DSL,No,No,45.3,Electronic check,Yes,Yes
Month-to-month,16,No,No internet service,No internet service,20.4,Electronic check,No,No
One year,43,Fiber optic,Yes,Yes,84.25,Bank transfer (automatic),Yes,No
Month-to-month,2,Fiber optic,No,Yes,104.4,Electronic check,Yes,Yes
Two year,14,DSL,No,Yes,81.95,Mailed check,No,No
One year,53,Fiber optic,No,No,94.85,Bank transfer (automatic),Yes,Yes
One year,32,No,No internet service,No internet service,20.55,Bank transfer (automatic),No,No
Month-to-month,34,No,No internet service,No internet service,24.7,Electronic check,No,No
Month-to-month,15,Fiber optic,No,No,74.45,Mailed check,Yes,Yes
Month-to-month,7,Fiber optic,Yes,No,76.45,Bank transfer (automatic),No,Yes
Month-to-month,15,Fiber optic,No,No,105.35,Bank transfer (automatic),Yes,No
One year,61,No,No internet service,No internet service,20.55,Credit card (automatic),Yes,No
Month-to-month,1,DSL,No,No,29.95,Bank transfer (automatic),No,Yes
Month-to-month,1,DSL,No,No,45.3,Mailed check,No,No
Month-to-month,8,Fiber optic,No,No,84.5,Bank transfer (automatic),No,Yes
One year,33,DSL,Yes,No,74.75,Credit card (automatic),No,No
Month-to-month,13,Fiber optic,No,No,79.25,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,24.8,Electronic check,Yes,Yes
Month-to-month,20,DSL,No,No,51.8,Mailed check,Yes,No
Month-to-month,3,DSL,No,Yes,30.4,Electronic check,No,No
One year,13,No,No internet service,No internet service,19.65,Electronic check,No,No
Month-to-month,40,DSL,No,No,56.6,Credit card (automatic),No,No
One year,43,DSL,Yes,Yes,71.9,Credit card (automatic),Yes,No
Month-to-month,6,Fiber optic,No,No,91.0,Electronic check,Yes,Yes
Two year,69,No,No internet service,No internet service,19.75,Bank transfer (automatic),No,No
Two year,72,Fiber optic,Yes,No,109.7,Credit card (automatic),No,No
Two year,59,No,No internet service,No internet service,19.3,Credit card (automatic),No,No
Month-to-month,20,Fiber optic,Yes,Yes,96.55,Electronic check,Yes,No
Two year,24,No,No internet service,No internet service,24.1,Bank transfer (automatic),Yes,No
Month-to-month,59,Fiber optic,No,Yes,111.35,Electronic check,Yes,No
Two year,72,Fiber optic,No,Yes,112.25,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,20.75,Mailed check,No,No
One year,27,Fiber optic,Yes,Yes,101.9,Credit card (automatic),Yes,No
Month-to-month,14,Fiber optic,No,Yes,80.05,Credit card (automatic),Yes,No
Two year,71,Fiber optic,Yes,No,105.55,Electronic check,No,No
Month-to-month,13,Fiber optic,No,No,78.3,Credit card (automatic),Yes,No
Month-to-month,44,Fiber optic,No,No,68.85,Credit card (automatic),No,No
One year,33,Fiber optic,No,Yes,79.95,Bank transfer (automatic),Yes,No
Two year,72,DSL,Yes,Yes,55.45,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,79.9,Electronic check,No,Yes
Month-to-month,19,Fiber optic,Yes,Yes,106.6,Electronic check,Yes,Yes
One year,64,Fiber optic,No,Yes,102.45,Credit card (automatic),Yes,No
Month-to-month,2,DSL,No,No,46.0,Credit card (automatic),Yes,Yes
Month-to-month,1,DSL,No,No,25.25,Electronic check,No,No
Two year,61,No,No internet service,No internet service,19.75,Mailed check,No,No
One year,29,No,No internet service,No internet service,20.0,Electronic check,No,No
Month-to-month,23,Fiber optic,No,No,86.8,Electronic check,No,No
Month-to-month,57,DSL,Yes,No,58.75,Bank transfer (automatic),Yes,No
Two year,72,DSL,Yes,Yes,45.25,Credit card (automatic),No,No
Two year,66,DSL,Yes,Yes,56.6,Bank transfer (automatic),Yes,No
Two year,65,DSL,No,Yes,84.2,Bank transfer (automatic),Yes,No
Month-to-month,8,Fiber optic,No,No,80.0,Bank transfer (automatic),Yes,No
Month-to-month,4,Fiber optic,No,No,70.15,Electronic check,Yes,Yes
Two year,71,No,No internet service,No internet service,24.75,Bank transfer (automatic),No,No
One year,1,No,No internet service,No internet service,20.2,Electronic check,Yes,No
Month-to-month,4,DSL,No,Yes,50.05,Mailed check,No,Yes
One year,12,No,No internet service,No internet service,19.35,Bank transfer (automatic),Yes,No
One year,24,DSL,Yes,No,50.6,Mailed check,Yes,No
One year,31,DSL,Yes,Yes,81.15,Mailed check,Yes,No
Month-to-month,1,DSL,No,No,55.2,Mailed check,No,Yes
Month-to-month,30,Fiber optic,No,Yes,89.9,Credit card (automatic),Yes,No
Two year,47,DSL,Yes,Yes,85.3,Credit card (automatic),Yes,No
Two year,54,Fiber optic,Yes,Yes,108.0,Credit card (automatic),Yes,No
Month-to-month,50,Fiber optic,Yes,Yes,93.5,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,Yes,No,84.6,Mailed check,Yes,Yes
Two year,72,No,No internet service,No internet service,20.25,Credit card (automatic),No,No
Month-to-month,29,No,No internet service,No internet service,25.15,Electronic check,No,No
Month-to-month,2,DSL,No,No,54.4,Mailed check,Yes,Yes
Two year,10,DSL,No,Yes,29.6,Mailed check,Yes,No
Month-to-month,18,Fiber optic,No,No,73.15,Electronic check,Yes,No
Month-to-month,11,Fiber optic,No,No,95.0,Electronic check,Yes,Yes
Two year,16,No,No internet service,No internet service,19.75,Mailed check,No,No
Two year,72,DSL,No,Yes,86.6,Bank transfer (automatic),No,No
Two year,72,Fiber optic,No,Yes,109.2,Bank transfer (automatic),No,No
One year,41,DSL,Yes,Yes,74.7,Credit card (automatic),Yes,No
Month-to-month,65,Fiber optic,Yes,No,94.4,Electronic check,No,No
Month-to-month,13,DSL,No,No,54.8,Electronic check,Yes,No
Month-to-month,4,Fiber optic,Yes,No,75.35,Electronic check,No,No
One year,41,DSL,No,No,65.0,Mailed check,No,No
Month-to-month,15,Fiber optic,No,No,74.4,Electronic check,Yes,Yes
Month-to-month,1,DSL,Yes,No,48.55,Mailed check,Yes,Yes
One year,42,Fiber optic,Yes,No,99.0,Electronic check,Yes,No
One year,51,Fiber optic,Yes,No,93.5,Electronic check,Yes,No
Month-to-month,2,Fiber optic,No,No,70.4,Electronic check,No,Yes
Month-to-month,1,DSL,No,No,40.2,Electronic check,No,Yes
One year,32,DSL,No,Yes,83.7,Credit card (automatic),No,No
Month-to-month,10,No,No internet service,No internet service,19.85,Mailed check,Yes,No
Two year,67,DSL,No,Yes,59.55,Electronic check,Yes,No
Two year,61,Fiber optic,Yes,Yes,115.1,Credit card (automatic),No,No
One year,50,Fiber optic,Yes,Yes,114.35,Credit card (automatic),No,No
Month-to-month,2,DSL,No,No,44.6,Credit card (automatic),Yes,Yes
Month-to-month,29,DSL,Yes,No,45.0,Electronic check,Yes,No
Month-to-month,3,DSL,No,No,41.15,Electronic check,Yes,Yes
Month-to-month,13,Fiber optic,No,No,106.9,Electronic check,Yes,Yes
Month-to-month,57,Fiber optic,No,No,89.85,Electronic check,Yes,No
Two year,31,DSL,Yes,Yes,49.85,Bank transfer (automatic),Yes,No
One year,45,Fiber optic,Yes,Yes,113.3,Mailed check,No,No
Two year,61,DSL,Yes,Yes,88.1,Mailed check,No,No
Two year,50,No,No internet service,No internet service,24.9,Bank transfer (automatic),No,No
Month-to-month,19,Fiber optic,Yes,Yes,105.0,Mailed check,Yes,No
Two year,59,No,No internet service,No internet service,19.35,Mailed check,No,Yes
Two year,71,No,No internet service,No internet service,24.25,Credit card (automatic),Yes,No
Month-to-month,16,Fiber optic,No,Yes,94.45,Electronic check,Yes,Yes
Two year,57,DSL,Yes,Yes,59.75,Electronic check,Yes,No
Month-to-month,1,DSL,No,No,24.8,Bank transfer (automatic),No,Yes
Month-to-month,20,Fiber optic,No,Yes,107.05,Electronic check,No,No
Month-to-month,1,Fiber optic,No,No,70.6,Mailed check,No,Yes
Month-to-month,5,Fiber optic,No,Yes,85.4,Electronic check,Yes,Yes
Month-to-month,52,Fiber optic,No,No,105.05,Electronic check,Yes,Yes
Month-to-month,21,DSL,Yes,No,64.95,Bank transfer (automatic),Yes,No
Month-to-month,14,DSL,No,Yes,55.0,Electronic check,Yes,No
Month-to-month,5,DSL,No,No,50.55,Bank transfer (automatic),No,No
Month-to-month,6,DSL,Yes,No,55.15,Mailed check,No,No
Month-to-month,10,DSL,No,No,51.2,Electronic check,No,No
Month-to-month,1,No,No internet service,No internet service,25.4,Mailed check,No,No
Month-to-month,68,DSL,Yes,No,54.45,Mailed check,No,No
Month-to-month,18,Fiber optic,No,No,95.15,Mailed check,No,Yes
One year,22,Fiber optic,No,No,76.0,Credit card (automatic),Yes,No
Month-to-month,20,DSL,No,No,44.35,Electronic check,Yes,No
Month-to-month,1,Fiber optic,No,No,70.0,Electronic check,No,Yes
Month-to-month,8,Fiber optic,No,No,74.5,Electronic check,Yes,Yes
Month-to-month,10,DSL,No,No,44.85,Credit card (automatic),Yes,Yes
Month-to-month,24,Fiber optic,No,No,76.1,Electronic check,Yes,Yes
One year,35,DSL,Yes,No,61.2,Mailed check,No,No
One year,23,Fiber optic,No,Yes,86.8,Mailed check,No,No
Month-to-month,6,Fiber optic,No,No,89.35,Electronic check,Yes,No
Month-to-month,12,No,No internet service,No internet service,19.7,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,20.25,Mailed check,No,No
Two year,71,Fiber optic,No,No,76.05,Electronic check,No,No
Month-to-month,35,Fiber optic,No,No,100.8,Electronic check,Yes,No
Month-to-month,40,DSL,No,No,74.55,Electronic check,Yes,No
Month-to-month,1,Fiber optic,Yes,No,73.6,Mailed check,Yes,Yes
One year,23,DSL,No,No,64.9,Bank transfer (automatic),Yes,No
Month-to-month,4,Fiber optic,No,No,95.45,Electronic check,Yes,Yes
Month-to-month,4,Fiber optic,No,Yes,90.4,Electronic check,Yes,No
Two year,68,DSL,No,Yes,60.3,Credit card (automatic),No,No
Month-to-month,38,Fiber optic,No,No,81.85,Mailed check,Yes,No
Two year,52,No,No internet service,No internet service,24.8,Mailed check,No,No
Month-to-month,32,Fiber optic,No,No,74.9,Electronic check,Yes,Yes
Two year,29,DSL,No,Yes,75.55,Mailed check,No,No
Month-to-month,38,Fiber optic,No,No,101.15,Electronic check,No,No
One year,48,DSL,Yes,No,78.75,Credit card (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,19.25,Bank transfer (automatic),Yes,No
Month-to-month,22,Fiber optic,Yes,Yes,89.05,Electronic check,Yes,No
Two year,43,Fiber optic,Yes,Yes,115.05,Credit card (automatic),No,No
Month-to-month,5,Fiber optic,No,No,69.35,Electronic check,Yes,No
Month-to-month,5,Fiber optic,No,No,80.6,Electronic check,Yes,Yes
One year,51,Fiber optic,Yes,Yes,110.05,Credit card (automatic),No,No
Two year,71,No,No internet service,No internet service,19.9,Credit card (automatic),Yes,No
One year,38,DSL,Yes,Yes,80.3,Credit card (automatic),No,Yes
Month-to-month,24,Fiber optic,No,No,93.15,Electronic check,Yes,Yes
Month-to-month,35,Fiber optic,No,Yes,91.5,Credit card (automatic),Yes,No
One year,54,DSL,Yes,Yes,82.45,Bank transfer (automatic),No,Yes
Two year,72,DSL,No,Yes,60.0,Electronic check,Yes,No
Month-to-month,1,DSL,No,No,44.8,Electronic check,Yes,No
One year,9,DSL,Yes,No,48.6,Mailed check,No,No
Two year,69,DSL,Yes,Yes,60.05,Bank transfer (automatic),Yes,No
Month-to-month,52,Fiber optic,No,Yes,102.7,Credit card (automatic),Yes,No
Month-to-month,11,Fiber optic,No,Yes,82.9,Electronic check,Yes,No
Month-to-month,2,Fiber optic,No,No,70.35,Electronic check,Yes,Yes
Month-to-month,28,DSL,No,No,35.9,Electronic check,Yes,No
Month-to-month,17,Fiber optic,No,No,82.65,Credit card (automatic),Yes,No
Two year,35,No,No internet service,No internet service,19.85,Mailed check,Yes,No
One year,8,No,No internet service,No internet service,19.2,Mailed check,Yes,No
One year,46,Fiber optic,No,No,94.9,Credit card (automatic),Yes,No
Month-to-month,7,Fiber optic,No,No,73.85,Electronic check,Yes,Yes
Month-to-month,2,Fiber optic,No,No,80.6,Mailed check,No,Yes
One year,68,DSL,No,Yes,75.8,Bank transfer (automatic),Yes,Yes
Two year,43,Fiber optic,No,No,104.6,Electronic check,Yes,Yes
Two year,68,DSL,Yes,Yes,88.15,Electronic check,Yes,No
Month-to-month,36,Fiber optic,No,No,94.8,Credit card (automatic),Yes,No
Month-to-month,63,Fiber optic,No,No,103.4,Electronic check,Yes,Yes
Month-to-month,32,DSL,No,Yes,54.65,Bank transfer (automatic),No,No
Two year,71,DSL,Yes,Yes,85.75,Credit card (automatic),No,No
Month-to-month,66,DSL,Yes,No,67.45,Bank transfer (automatic),Yes,No
One year,63,No,No internet service,No internet service,20.5,Mailed check,No,No
One year,41,No,No internet service,No internet service,20.25,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,72.1,Electronic check,Yes,No
Month-to-month,2,Fiber optic,No,No,90.4,Electronic check,Yes,Yes
Two year,70,No,No internet service,No internet service,19.45,Bank transfer (automatic),No,No
Month-to-month,23,DSL,No,No,44.95,Electronic check,Yes,No
One year,64,Fiber optic,Yes,No,97.0,Bank transfer (automatic),No,No
Two year,37,DSL,Yes,Yes,62.8,Credit card (automatic),Yes,No
One year,17,DSL,No,No,44.6,Mailed check,No,No
Month-to-month,7,Fiber optic,No,No,89.15,Electronic check,Yes,No
Month-to-month,4,Fiber optic,No,No,84.8,Bank transfer (automatic),Yes,Yes
Month-to-month,21,DSL,Yes,No,41.9,Electronic check,Yes,Yes
Month-to-month,10,Fiber optic,No,No,80.25,Bank transfer (automatic),Yes,Yes
Month-to-month,16,DSL,Yes,No,54.1,Electronic check,Yes,No
Two year,64,Fiber optic,No,Yes,105.25,Electronic check,Yes,No
Month-to-month,27,DSL,Yes,No,30.75,Credit card (automatic),No,Yes
One year,42,Fiber optic,Yes,No,97.1,Electronic check,No,No
Month-to-month,5,No,No internet service,No internet service,20.2,Mailed check,No,No
Two year,41,Fiber optic,No,Yes,98.8,Bank transfer (automatic),Yes,No
One year,58,DSL,No,No,50.3,Credit card (automatic),No,No
Two year,47,No,No internet service,No internet service,20.55,Mailed check,Yes,No
Month-to-month,18,Fiber optic,No,Yes,75.9,Bank transfer (automatic),Yes,No
Month-to-month,5,Fiber optic,No,No,96.5,Bank transfer (automatic),No,Yes
Month-to-month,23,DSL,Yes,No,59.95,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,19.15,Mailed check,No,No
One year,71,Fiber optic,No,No,98.65,Credit card (automatic),Yes,No
Two year,72,Fiber optic,Yes,Yes,112.6,Credit card (automatic),Yes,No
One year,33,No,No internet service,No internet service,20.6,Mailed check,No,No
Month-to-month,2,Fiber optic,No,No,85.65,Electronic check,Yes,Yes
Two year,24,DSL,Yes,Yes,35.75,Mailed check,No,No
One year,56,Fiber optic,No,Yes,99.75,Credit card (automatic),Yes,No
Month-to-month,37,Fiber optic,No,No,96.1,Credit card (automatic),Yes,No
One year,43,DSL,No,Yes,85.1,Credit card (automatic),No,No
Month-to-month,1,DSL,No,No,25.35,Mailed check,No,No
Month-to-month,25,Fiber optic,No,Yes,104.95,Bank transfer (automatic),Yes,Yes
Two year,61,DSL,Yes,Yes,89.65,Electronic check,No,No
One year,17,Fiber optic,No,Yes,86.75,Electronic check,No,No
One year,41,Fiber optic,No,Yes,86.2,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,No,No,50.65,Mailed check,No,Yes
Two year,72,DSL,Yes,Yes,64.8,Bank transfer (automatic),Yes,No
